OTU	Domain	Supergroup	Phylum	Class	Order	Family	Genus	Species	MDBC01_rep	MDBC03_rep	MDBC04_rep	MDBC05_rep	MDBC06_rep	MDBC09_rep	MDBC11_rep	MDBC18_rep	MDBC21_rep	MDBC28_rep	MDBC29_rep	MDBC30_rep	MDBC32_rep	MDBC33_rep	MDBC34_rep	MDBC35_rep	MDBC36_rep	MDBC37_rep	MDBC38_rep	MDBC42_rep	MDBC44_rep	MDBC45_rep	MDBC46_rep	
572	Eukaryota	SAR	Ochrophyta	Bolidophyceae	Parmales	Triparmaceae	Bolidomonas		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
573	Eukaryota	SAR	Ochrophyta	Bolidophyceae	Parmales	Triparmaceae	Bolidomonas	uncultured marine eukaryote	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
574	Eukaryota	SAR	Ochrophyta	Chrysophyceae					0	0	0	0	0	1	1	0	0	0	0	0	0	65	0	722	0	66	4	1	1	127	9	
575	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Chromulinales				0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	71	0	5	0	0	0	22	0	
576	Eukaryota	SAR	Bigyra	Blastocystea	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
577	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Chromulinales			uncultured	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
578	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Ochromonadales	Ochromonadaceae	Uroglena		0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	5	0	
579	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Ochromonadales				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	1	0	
580	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Ochromonadales	Chrysolepidomonadaceae 	Chrysolepidomonas		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
581	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Ochromonadales	Ochromonadaceae	Ochromonas		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	
582	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Ochromonadales	Paraphysomonadaceae	Paraphysomonas		0	0	0	0	0	1	0	0	0	0	0	0	0	7	2	19	1	97	2	0	5	2	21	
583	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Ochromonadales			uncultured	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
584	Eukaryota	SAR	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Synura		0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
585	Eukaryota	SAR	Ochrophyta	Chrysophyceae				uncultured	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	17	0	0	0	2	2	
586	Eukaryota	SAR	Ochrophyta	Chrysophyceae				uncultured eukaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
587	Eukaryota	SAR	Ochrophyta	Chrysophyceae				uncultured freshwater eukaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
590	Eukaryota	SAR	Heterokontophyta	Bacillariophyceae					0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	3	2	1	0	0	0	0	11	
594	Eukaryota	SAR	Heterokontophyta	Coscinodiscophyceae	Coscinodiscales	Hemidiscaceae	Actinoptychus	Actinoptychus splendens	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
595	Eukaryota	SAR	Heterokontophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Corethrids		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
596	Eukaryota	SAR	Heterokontophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
597	Eukaryota	SAR	Heterokontophyta	Bacillariophyceae	Fragilariales				0	11	0	0	0	3	1	0	0	0	0	0	1	504	2	110	218	290	9	167	232	396	241	
598	Eukaryota	SAR	Heterokontophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenids		0	0	0	0	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
599	Eukaryota	SAR	Heterokontophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hyalosynedra	Hyalosynedra prasadii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	
600	Eukaryota	SAR	Ochrophyta	Dictyochophyceae					0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
601	Eukaryota	SAR	Ochrophyta	Dictyochophyceae	Dictyochales	Florenciellales	Florenciella		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
604	Eukaryota	SAR	Ochrophyta	Eustigmatophyceae	Eustigmatales	Chlorobotryaceae	Chlorobotrys		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
605	Eukaryota	SAR	Ochrophyta	Eustigmatophyceae	Goniochloridales	Goniochloridaceae	Goniochloris		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
606	Eukaryota	SAR	Ochrophyta	Eustigmatophyceae	Eustigmatales			uncultured	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
607	Eukaryota	SAR	Ochrophyta	Eustigmatophyceae	Eustigmatales			uncultured Eustigmatophyceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
609	Eukaryota	SAR	Ochrophyta	Phaeophyceae					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	
610	Eukaryota	SAR	Ochrophyta	Phaeophyceae	Ectocarpales				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
611	Eukaryota	SAR	Ochrophyta	Phaeophyceae	Ectocarpales	uncultured	uncultured	uncultured eukaryote	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612	Eukaryota	SAR	Ochrophyta	Raphidophyceae	Chattonellales				0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
613	Eukaryota	SAR	Ochrophyta	Xanthophyceae					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
614	Eukaryota	SAR	Ochrophyta	Xanthophyceae				uncultured eukaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	
615	Eukaryota	SAR	Placidozoa	Opalinea	Slopalinida	 Proteromonadidae	Karotomorpha	Karotomorpha sp. RAPI1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
616	Eukaryota	SAR	Bigyra	Opalinea	Opalinata	Opalinidae	Opalina undulata	Opalina undulata	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
618	Eukaryota	SAR	Oomycota	Oomycetes	Peronosporales	Peronosporaceae	Halophytophthora	Halophytophthora epistomium	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
619	Eukaryota	SAR	Oomycota	Oomycetes	Lagenidiales	Lagenidiaceae	Lagenidium		0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
